8.3 (D)(3DRel)	Time
0.002751369	28557.8624
0.002795653	28597.5097
0.0027874	28638.4321
0.002804121	28677.618
0.002764471	28721.8177
0.002734341	28757.5616
0.002697272	28798.1114
0.002658367	28837.6416
0.00262494	28879.2364
0.002640224	28918.8081
0.002647914	28959.1731
0.00261601	28998.3869
0.002612605	29038.3184
0.002612848	29077.877
0.002646178	29118.6721
0.002655369	29162.8464
0.00265489	29198.5059
0.002667252	29238.0673
0.002675529	29278.4509
0.002668528	29319.8502
0.00267193	29359.4457
0.002675795	29403.4338
0.002675795	29437.5695
0.002651272	29482.7717
0.002585634	29517.4623
0.002486067	29557.8039
0.002389894	29597.851
0.002234514	29645.4206
0.002081223	29677.7531
0.001976696	29718.1381
0.001925921	29757.7054
0.001810632	29798.1187
0.001702602	29837.8323
0.001620256	29883.8854
0.001579083	29917.8441
0.001532046	29959.8153
0.001447077	29997.9997
0.001378956	30038.296
0.001324832	30078.6011
0.001258523	30123.4029
0.00114883	30158.8455
0.001063428	30198.2884
0.001063428	30238.099
0.00097981	30278.4197
0.00097981	30318.5131
0.000874143	30362.5548
0.000874143	30399.1213
0.000844375	30441.6801
0.000758578	30477.9023
0.000727779	30517.532
0.000705647	30557.9916
0.000666142	30603.3801
0.000655307	30637.8103
0.000688206	30678.4792
0.000659538	30717.9777
0.000680433	30758.6348
0.000678929	30798.0851
0.000702487	30837.6036
0.000725822	30878.6957
0.000729737	30923.9403
0.000739237	30958.1184
0.000760642	30998.9228
0.000748578	31038.2648
0.000761582	31078.9058
0.000760566	31118.6492
0.000763789	31158.1667
0.000747949	31198.5756
0.00076568	31238.1146
0.00076568	31279.2384
0.000828891	31318.6101
0.000850793	31360.4746
0.000896703	31398.2231
0.000896703	31438.2565
0.000921739	31477.6546
0.000965936	31517.4043
0.001016332	31558.3969
0.00108712	31597.3429
0.001111092	31637.8459
0.001176238	31683.5036
0.001224908	31718.437
0.001247126	31757.9292
0.001284515	31798.6546
0.001328223	31838.7383
0.001326545	31878.3153
0.001322883	31924.0466
0.001297682	31959.0444
0.001256063	31999.11
0.00120812	32038.3184
0.001146262	32077.8223
0.001076688	32118.263
0.001025114	32158.1457
0.000966092	32199.0418
0.000894296	32238.2468
0.000857142	32278.3436
0.000857142	32318.2854
0.000759105	32363.5612
0.000759105	32398.2504
0.000757117	32438.3779
0.00071908	32478.6313
0.000728173	32518.0957
0.000720646	32557.802
0.000721592	32603.6902
0.000724995	32637.7362
0.000717219	32685.2034
0.000719415	32718.0348
0.000737687	32757.8088
0.000751004	32798.6156
0.000749985	32837.6685
0.000781909	32878.1018
0.000799326	32917.8114
0.000823789	32958.2647
0.00084416	33003.2324
0.000870669	33038.218
0.000918555	33077.8331
0.000891672	33118.2576
0.000904823	33159.0942
0.000917786	33198.3552
0.000886125	33238.4613
0.000886125	33278.9195
0.000839433	33318.6014
0.000839433	33358.0477
0.000867009	33398.4683
0.000867009	33438.2092
0.00087785	33480.2556
0.001005445	33518.655
0.001005445	33558.2832
0.00108231	33597.2293
0.00119133	33642.5676
0.001262477	33677.8043
0.001341843	33717.9577
0.001409239	33757.9756
